Score,WOR
-401.0,False
-357.0,False
-305.0,False
-441.0,False
-154.0,False
-412.0,False
-402.0,False
-441.0,False
-352.0,False
-387.0,False
-313.0,False
-450.0,False
-337.0,False
-436.0,False
-245.0,False
-281.0,False
-364.0,False
-297.0,False
207.0,False
-73.0,False
142.0,False
-142.0,False
-287.0,False
-67.0,False
-158.0,False
-148.0,False
-441.0,False
-291.0,False
-331.0,False
-2.0,False
78.0,False
95.0,False
389.0,False
-291.0,False
-376.0,False
-161.0,False
108.0,False
-270.0,False
46.0,False
-404.0,False
-194.0,False
334.0,False
-332.0,False
-287.0,False
-27.0,False
-383.0,False
-351.0,False
-386.0,False
-361.0,False
-438.0,False
325.0,False
267.0,False
-379.0,False
-154.0,False
139.0,False
3.0,False
147.0,False
-472.0,False
228.0,False
-340.0,False
-47.0,False
-94.0,False
-89.0,False
-374.0,False
-349.0,False
-133.0,False
-78.0,False
-402.0,False
-289.0,False
-275.0,False
-328.0,False
-239.0,False
129.0,False
-160.0,False
-208.0,False
-189.0,False
-28.0,False
351.0,False
-216.0,False
-148.0,False
1463.0,True
948.0,True
1238.0,True
-226.0,False
1345.0,True
74.0,False
312.0,False
-115.0,False
-183.0,False
233.0,False
77.0,False
1060.0,True
-31.0,False
181.0,False
1448.0,True
1162.0,True
1310.0,True
-121.0,False
1048.0,True
427.0,False
-151.0,False
51.0,False
-306.0,False
-221.0,False
1160.0,True
25.0,False
11.0,False
-182.0,False
-189.0,False
-40.0,False
231.0,False
421.0,False
1214.0,True
-248.0,False
1141.0,True
158.0,False
-56.0,False
54.0,False
1065.0,True
-90.0,False
-256.0,False
1184.0,True
1042.0,True
1211.0,True
146.0,False
-447.0,False
1554.0,True
459.0,False
306.0,False
345.0,False
-152.0,False
-481.0,False
-425.0,False
100.0,False
1238.0,True
-211.0,False
1425.0,True
1138.0,True
-360.0,False
-190.0,False
165.0,False
-10.0,False
77.0,False
-187.0,False
156.0,False
122.0,False
-1.0,False
1350.0,True
58.0,False
1177.0,True
-100.0,False
1130.0,True
-47.0,False
1235.0,True
257.0,False
1385.0,True
1144.0,True
1581.0,True
1298.0,True
1407.0,True
136.0,False
1393.0,True
1298.0,True
-146.0,False
-405.0,False
351.0,False
-224.0,False
1612.0,True
111.0,False
1784.0,True
1123.0,True
1403.0,True
1186.0,True
181.0,False
-333.0,False
-37.0,False
1459.0,True
-340.0,False
172.0,False
341.0,False
1231.0,True
117.0,False
326.0,False
-424.0,False
70.0,False
-270.0,False
90.0,False
206.0,False
1168.0,True
-89.0,False
-180.0,False
22.0,False
-164.0,False
-359.0,False
-294.0,False
1200.0,True
1536.0,True
1372.0,True
41.0,False
395.0,False
-88.0,False
-236.0,False
232.0,False
-309.0,False
-424.0,False
1074.0,True
-377.0,False
-30.0,False
-113.0,False
-260.0,False
-100.0,False
944.0,True
-385.0,False
-400.0,False
-25.0,False
-73.0,False
-33.0,False
66.0,False
-312.0,False
222.0,False
94.0,False
-208.0,False
-243.0,False
-21.0,False
1150.0,True
-174.0,False
-427.0,False
325.0,False
-228.0,False
-153.0,False
150.0,False
1166.0,True
458.0,False
213.0,False
-243.0,False
-341.0,False
-303.0,False
-314.0,False
-457.0,False
1058.0,True
-116.0,False
-345.0,False
168.0,False
800.0,True
-297.0,False
138.0,False
92.0,False
1232.0,True
161.0,False
1428.0,True
1504.0,True
1447.0,True
1539.0,True
159.0,False
-68.0,False
49.0,False
59.0,False
-288.0,False
38.0,False
89.0,False
348.0,False
-55.0,False
437.0,False
366.0,False
-124.0,False
1310.0,True
106.0,False
-266.0,False
-295.0,False
-251.0,False
-180.0,False
-336.0,False
1146.0,True
1521.0,True
-187.0,False
-280.0,False
161.0,False
102.0,False
-47.0,False
394.0,False
-91.0,False
1308.0,True
1452.0,True
346.0,False
416.0,False
1247.0,True
-29.0,False
1286.0,True
264.0,False
194.0,False
1217.0,True
1243.0,True
1290.0,True
8.0,False
65.0,False
65.0,False
137.0,False
-243.0,False
-86.0,False
92.0,False
271.0,False
-128.0,False
33.0,False
-164.0,False
458.0,False
-236.0,False
1219.0,True
1259.0,True
1334.0,True
1159.0,True
291.0,False
56.0,False
-618.0,False
-289.0,False
-192.0,False
-351.0,False
-174.0,False
1160.0,True
394.0,False
-188.0,False
1254.0,True
1223.0,True
131.0,False
-199.0,False
-439.0,False
-287.0,False
666.0,False
-308.0,False
-198.0,False
-108.0,False
-37.0,False
-388.0,False
-32.0,False
-416.0,False
-226.0,False
-427.0,False
119.0,False
-114.0,False
-181.0,False
-51.0,False
-103.0,False
1354.0,True
377.0,False
-437.0,False
-432.0,False
-470.0,False
-341.0,False
-367.0,False
-393.0,False
-172.0,False
-367.0,False
-404.0,False
-153.0,False
264.0,False
-323.0,False
1327.0,True
-301.0,False
-179.0,False
-243.0,False
66.0,False
81.0,False
84.0,False
-123.0,False
-348.0,False
-292.0,False
48.0,False
47.0,False
-394.0,False
-454.0,False
-279.0,False
1200.0,True
-133.0,False
194.0,False
-166.0,False
93.0,False
397.0,False
119.0,False
1135.0,True
79.0,False
200.0,False
79.0,False
396.0,False
1323.0,True
-309.0,False
-396.0,False
-361.0,False
44.0,False
-150.0,False
1353.0,True
-380.0,False
-30.0,False
104.0,False
-456.0,False
136.0,False
-263.0,False
-124.0,False
1034.0,True
157.0,False
269.0,False
289.0,False
-14.0,False
547.0,False
1181.0,True
1444.0,True
126.0,False
87.0,False
54.0,False
-511.0,False
1523.0,True
-62.0,False
1405.0,True
-203.0,False
-458.0,False
-229.0,False
249.0,False
477.0,False
-353.0,False
314.0,False
32.0,False
-193.0,False
-106.0,False
111.0,False
-456.0,False
-184.0,False
219.0,False
1.0,False
-130.0,False
47.0,False
-63.0,False
395.0,False
1330.0,True
1041.0,True
17.0,False
-338.0,False
-360.0,False
142.0,False
0.0,False
1476.0,True
-291.0,False
-83.0,False
-53.0,False
-432.0,False
-87.0,False
97.0,False
-281.0,False
-411.0,False
-195.0,False
108.0,False
1148.0,True
-87.0,False
1338.0,True
902.0,True
-274.0,False
1363.0,True
1116.0,True
149.0,False
-409.0,False
647.0,False
-258.0,False
-678.0,False
-57.0,False
-12.0,False
241.0,False
-317.0,False
-260.0,False
-45.0,False
568.0,False
1255.0,True
-356.0,False
-29.0,False
1421.0,True
-172.0,False
-237.0,False
208.0,False
1292.0,True
1178.0,True
3.0,False
-284.0,False
-218.0,False
-172.0,False
14.0,False
81.0,False
-14.0,False
-188.0,False
88.0,False
138.0,False
-450.0,False
-317.0,False
-518.0,False
-451.0,False
909.0,True
1050.0,True
-181.0,False
-371.0,False
-314.0,False
-365.0,False
855.0,True
-323.0,False
-101.0,False
-192.0,False
72.0,False
-441.0,False
980.0,True
52.0,False
1286.0,True
80.0,False
-123.0,False
-135.0,False
-105.0,False
144.0,False
120.0,False
1361.0,True
-413.0,False
-63.0,False
-402.0,False
1291.0,True
260.0,False
847.0,True
-26.0,False
-194.0,False
363.0,False
-189.0,False
1285.0,True
0.0,False
268.0,False
-178.0,False
-210.0,False
1119.0,True
88.0,False
-25.0,False
-243.0,False
-493.0,False
-400.0,False
-406.0,False
-36.0,False
-364.0,False
-109.0,False
-337.0,False
-347.0,False
-127.0,False
-112.0,False
1206.0,True
-397.0,False
1317.0,True
-479.0,False
-404.0,False
-265.0,False
184.0,False
154.0,False
14.0,False
-472.0,False
1510.0,True
-215.0,False
-74.0,False
-105.0,False
-306.0,False
-32.0,False
1233.0,True
1411.0,True
1554.0,True
-168.0,False
-150.0,False
-326.0,False
-258.0,False
1512.0,True
852.0,True
-302.0,False
-275.0,False
-157.0,False
-84.0,False
63.0,False
-193.0,False
-357.0,False
-485.0,False
-273.0,False
-398.0,False
-439.0,False
210.0,False
1329.0,True
1249.0,True
-150.0,False
1372.0,True
-53.0,False
-89.0,False
-59.0,False
-292.0,False
1229.0,True
1146.0,True
1401.0,True
-24.0,False
-242.0,False
19.0,False
-266.0,False
45.0,False
108.0,False
-242.0,False
-221.0,False
332.0,False
-52.0,False
-425.0,False
-48.0,False
-390.0,False
-519.0,False
-532.0,False
-492.0,False
-336.0,False
514.0,False
-143.0,False
70.0,False
181.0,False
-187.0,False
-335.0,False
262.0,False
1260.0,True
-76.0,False
-388.0,False
-263.0,False
240.0,False
-44.0,False
-490.0,False
-55.0,False
91.0,False
128.0,False
58.0,False
1231.0,True
187.0,False
-390.0,False
-321.0,False
474.0,False
-231.0,False
-353.0,False
-355.0,False
1434.0,True
417.0,False
-392.0,False
136.0,False
-376.0,False
-24.0,False
1083.0,True
-176.0,False
-54.0,False
87.0,False
-50.0,False
-322.0,False
-64.0,False
1343.0,True
168.0,False
-266.0,False
-198.0,False
19.0,False
1275.0,True
294.0,False
3.0,False
-140.0,False
-38.0,False
-330.0,False
-382.0,False
-2.0,False
249.0,False
-43.0,False
-222.0,False
-399.0,False
-408.0,False
23.0,False
-24.0,False
-85.0,False
-181.0,False
108.0,False
-278.0,False
-333.0,False
-143.0,False
-374.0,False
-152.0,False
-274.0,False
-171.0,False
-95.0,False
-172.0,False
-44.0,False
-77.0,False
-138.0,False
-384.0,False
81.0,False
-306.0,False
-282.0,False
457.0,False
41.0,False
96.0,False
-325.0,False
-338.0,False
1155.0,True
1230.0,True
-168.0,False
994.0,True
-188.0,False
1183.0,True
241.0,False
146.0,False
1136.0,True
78.0,False
1154.0,True
319.0,False
11.0,False
163.0,False
359.0,False
-46.0,False
29.0,False
-26.0,False
688.0,True
-380.0,False
1160.0,True
110.0,False
-33.0,False
1362.0,True
98.0,False
79.0,False
-11.0,False
1457.0,True
1410.0,True
190.0,False
1263.0,True
1225.0,True
234.0,False
-62.0,False
1208.0,True
1100.0,True
1217.0,True
1488.0,True
1249.0,True
-88.0,False
-76.0,False
12.0,False
124.0,False
1345.0,True
-231.0,False
126.0,False
-181.0,False
659.0,True
-292.0,False
-297.0,False
8.0,False
-258.0,False
1024.0,True
229.0,False
192.0,False
38.0,False
1299.0,True
-305.0,False
24.0,False
1180.0,True
269.0,False
-388.0,False
-83.0,False
66.0,False
-187.0,False
74.0,False
-134.0,False
1106.0,True
1219.0,True
-156.0,False
-309.0,False
261.0,False
1213.0,True
140.0,False
171.0,False
1172.0,True
1183.0,True
41.0,False
1163.0,True
1293.0,True
416.0,False
-287.0,False
-238.0,False
-445.0,False
-160.0,False
1000.0,True
-53.0,False
105.0,False
1174.0,True
-275.0,False
1349.0,True
-106.0,False
1163.0,True
-218.0,False
1603.0,True
-121.0,False
248.0,False
458.0,False
83.0,False
70.0,False
892.0,True
1135.0,True
1412.0,True
191.0,False
382.0,False
-263.0,False
-374.0,False
162.0,False
1207.0,True
1156.0,True
486.0,False
-56.0,False
219.0,False
64.0,False
-6.0,False
-504.0,False
1279.0,True
1120.0,True
1353.0,True
-337.0,False
107.0,False
-387.0,False
106.0,False
122.0,False
1340.0,True
1651.0,True
1573.0,True
1437.0,True
1647.0,True
1242.0,True
1477.0,True
48.0,False
-233.0,False
1418.0,True
124.0,False
1116.0,True
1455.0,True
-254.0,False
362.0,False
-249.0,False
730.0,True
298.0,False
50.0,False
-288.0,False
1105.0,True
-127.0,False
1055.0,True
212.0,False
1027.0,True
167.0,False
88.0,False
1289.0,True
10.0,False
-201.0,False
30.0,False
160.0,False
1029.0,True
66.0,False
1196.0,True
-264.0,False
0.0,False
-461.0,False
1118.0,True
-43.0,False
47.0,False
-71.0,False
-159.0,False
70.0,False
22.0,False
1589.0,True
351.0,False
1188.0,True
-120.0,False
1098.0,True
-40.0,False
59.0,False
-109.0,False
-420.0,False
-152.0,False
209.0,False
341.0,False
-264.0,False
-125.0,False
84.0,False
-36.0,False
-164.0,False
1237.0,True
38.0,False
1011.0,True
-193.0,False
346.0,False
308.0,False
-463.0,False
266.0,False
788.0,False
-180.0,False
1135.0,True
1148.0,True
-42.0,False
-245.0,False
1056.0,True
127.0,False
202.0,False
-212.0,False
1410.0,True
1078.0,True
172.0,False
100.0,False
22.0,False
-229.0,False
-424.0,False
-1030.0,False
-510.0,False
-392.0,False
-138.0,False
-167.0,False
370.0,False
293.0,False
-510.0,False
-448.0,False
-412.0,False
-176.0,False
-471.0,False
-76.0,False
244.0,False
-117.0,False
-343.0,False
-124.0,False
-127.0,False
-291.0,False
42.0,False
-236.0,False
-113.0,False
-124.0,False
-134.0,False
-50.0,False
280.0,False
11.0,False
161.0,False
318.0,False
7.0,False
-136.0,False
165.0,False
301.0,False
-469.0,False
1169.0,True
-331.0,False
10.0,False
-301.0,False
171.0,False
1064.0,True
6.0,False
-79.0,False
-415.0,False
390.0,False
-329.0,False
398.0,False
-37.0,False
-91.0,False
370.0,False
1442.0,True
-366.0,False
-467.0,False
-484.0,False
-246.0,False
-156.0,False
1161.0,True
139.0,False
-96.0,False
1245.0,True
280.0,False
-382.0,False
-113.0,False
1332.0,True
-53.0,False
-268.0,False
254.0,False
-232.0,False
-87.0,False
1197.0,True
186.0,False
1233.0,True
-72.0,False
-132.0,False
1249.0,True
-35.0,False
-308.0,False
-114.0,False
-376.0,False
-102.0,False
-419.0,False
-394.0,False
-417.0,False
-313.0,False
-533.0,False
-403.0,False
61.0,False
-428.0,False
1093.0,True
1177.0,True
-371.0,False
1226.0,True
1201.0,True
208.0,False
1106.0,True
1233.0,True
1598.0,True
1190.0,True
1472.0,True
1305.0,True
-269.0,False
230.0,False
74.0,False
-426.0,False
-261.0,False
1410.0,True
1325.0,True
325.0,False
-180.0,False
-351.0,False
-219.0,False
86.0,False
-330.0,False
407.0,True
-338.0,False
-106.0,False
1075.0,True
-42.0,False
147.0,False
356.0,False
-294.0,False
399.0,False
12.0,False
-204.0,False
-146.0,False
-110.0,False
112.0,False
253.0,False
193.0,False
1456.0,True
0.0,False
1227.0,True
1164.0,True
1031.0,True
1390.0,True
1360.0,True
162.0,False
1304.0,True
1283.0,True
-323.0,False
-140.0,False
1418.0,True
1283.0,True
236.0,False
-151.0,False
112.0,False
-280.0,False
1365.0,True
1183.0,True
1599.0,True
-48.0,False
1201.0,True
219.0,False
234.0,False
-199.0,False
-206.0,False
1181.0,True
-333.0,False
-447.0,False
-39.0,False
-337.0,False
-453.0,False
-387.0,False
-264.0,False
-350.0,False
-61.0,False
-150.0,False
-393.0,False
-481.0,False
-514.0,False
-398.0,False
84.0,False
496.0,False
1208.0,True
-14.0,False
1048.0,True
250.0,False
-253.0,False
-51.0,False
1076.0,True
-152.0,False
-298.0,False
106.0,False
107.0,False
-83.0,False
-237.0,False
-337.0,False
-393.0,False
1215.0,True
1103.0,True
1247.0,True
-144.0,False
-117.0,False
-21.0,False
-334.0,False
-1.0,False
1117.0,True
-132.0,False
-353.0,False
-68.0,False
1104.0,True
1258.0,True
107.0,False
-62.0,False
-36.0,False
-378.0,False
-324.0,False
-77.0,False
182.0,False
393.0,False
-430.0,False
-275.0,False
335.0,False
167.0,False
-431.0,False
53.0,False
-162.0,False
172.0,False
-29.0,False
1121.0,True
253.0,False
1608.0,True
-222.0,False
-232.0,False
-90.0,False
-62.0,False
-60.0,False
1181.0,True
-406.0,False
-175.0,False
384.0,False
1544.0,True
35.0,False
-193.0,False
1093.0,True
-49.0,False
-104.0,False
-246.0,False
325.0,False
21.0,False
150.0,False
64.0,False
-128.0,False
1108.0,True
1440.0,True
47.0,False
172.0,False
225.0,False
1087.0,True
994.0,True
-239.0,False
-403.0,False
1189.0,True
1154.0,True
-313.0,False
1201.0,True
1125.0,True
65.0,False
64.0,False
462.0,False
1033.0,True
1442.0,True
1559.0,True
-152.0,False
-81.0,False
-4.0,False
-40.0,False
441.0,False
1283.0,True
-63.0,False
322.0,False
74.0,False
-39.0,False
189.0,False
153.0,False
292.0,False
78.0,False
77.0,False
220.0,False
-368.0,False
13.0,False
-420.0,False
-341.0,False
-377.0,False
-263.0,False
-408.0,False
47.0,False
-438.0,False
-481.0,False
-562.0,False
-304.0,False
-172.0,False
1633.0,True
-125.0,False
152.0,False
-259.0,False
-238.0,False
88.0,False
1065.0,True
27.0,False
-290.0,False
1318.0,True
-49.0,False
126.0,False
-70.0,False
197.0,False
245.0,False
350.0,False
1114.0,True
-145.0,False
-507.0,False
-410.0,False
-403.0,False
1110.0,True
519.0,False
-39.0,False
1361.0,True
1037.0,True
1271.0,True
-123.0,False
-114.0,False
281.0,False
1114.0,True
-178.0,False
-60.0,False
-129.0,False
-263.0,False
-116.0,False
1418.0,True
1215.0,True
-406.0,False
-514.0,False
277.0,False
1210.0,True
1355.0,True
-154.0,False
1351.0,True
233.0,False
-75.0,False
49.0,False
1169.0,True
1443.0,True
114.0,False
150.0,False
-138.0,False
-420.0,False
-187.0,False
1285.0,True
134.0,False
21.0,False
1278.0,True
-44.0,False
355.0,False
1361.0,True
-268.0,False
-110.0,False
1455.0,True
1196.0,True
-94.0,False
-268.0,False
264.0,False
1212.0,True
148.0,False
1297.0,True
-13.0,False
-211.0,False
-331.0,False
-277.0,False
-228.0,False
215.0,False
1091.0,True
-310.0,False
151.0,False
272.0,False
1138.0,True
-283.0,False
1061.0,True
222.0,False
-109.0,False
-403.0,False
15.0,False
-278.0,False
21.0,False
-119.0,False
61.0,False
-506.0,False
-263.0,False
-154.0,False
-138.0,False
-111.0,False
-356.0,False
253.0,False
153.0,False
385.0,False
-341.0,False
-320.0,False
-401.0,False
42.0,False
-298.0,False
-170.0,False
-58.0,False
-56.0,False
-123.0,False
-51.0,False
-222.0,False
33.0,False
-480.0,False
998.0,True
-376.0,False
1015.0,True
8.0,False
1305.0,True
936.0,True
242.0,False
-365.0,False
-56.0,False
-38.0,False
-91.0,False
12.0,False
81.0,False
-96.0,False
1014.0,True
1149.0,True
146.0,False
177.0,False
-363.0,False
1132.0,True
1272.0,True
223.0,False
-164.0,False
25.0,False
1038.0,True
1092.0,True
-29.0,False
-327.0,False
10.0,False
1107.0,True
1070.0,True
1185.0,True
-215.0,False
1310.0,True
1384.0,True
-277.0,False
7.0,False
-159.0,False
34.0,False
-86.0,False
-340.0,False
-327.0,False
154.0,False
-252.0,False
-541.0,False
190.0,False
-75.0,False
98.0,False
52.0,False
-248.0,False
235.0,False
4.0,False
-347.0,False
1177.0,True
1153.0,True
30.0,False
9.0,False
1449.0,True
-69.0,False
355.0,False
116.0,False
1315.0,True
1183.0,True
1317.0,True
-108.0,False
1292.0,True
1196.0,True
1378.0,True
1581.0,True
1173.0,True
279.0,False
127.0,False
1409.0,True
-304.0,False
1539.0,True
-300.0,False
1071.0,True
911.0,True
-417.0,False
101.0,False
-316.0,False
-383.0,False
-85.0,False
1241.0,True
-417.0,False
1309.0,True
-174.0,False
1296.0,True
1330.0,True
139.0,False
-26.0,False
-91.0,False
142.0,False
-391.0,False
-569.0,False
-460.0,False
187.0,False
1325.0,True
-115.0,False
196.0,False
-188.0,False
-8.0,False
-143.0,False
-291.0,False
432.0,False
206.0,False
264.0,False
1335.0,True
114.0,False
1315.0,True
-199.0,False
-237.0,False
-319.0,False
378.0,False
88.0,False
1780.0,True
1374.0,True
236.0,False
1161.0,True
1511.0,True
-451.0,False
-197.0,False
-252.0,False
-165.0,False
1209.0,True
71.0,False
-235.0,False
320.0,False
-414.0,False
107.0,False
332.0,False
1369.0,True
1361.0,True
-254.0,False
49.0,False
-84.0,False
-231.0,False
-300.0,False
-21.0,False
-56.0,False
194.0,False
66.0,False
-155.0,False
-218.0,False
33.0,False
-64.0,False
53.0,False
-11.0,False
1275.0,True
134.0,False
35.0,False
1533.0,True
1126.0,True
294.0,False
1036.0,True
-329.0,False
1229.0,True
1160.0,True
1344.0,True
1271.0,True
279.0,False
314.0,False
1559.0,True
1213.0,True
1221.0,True
277.0,False
41.0,False
19.0,False
147.0,False
-219.0,False
-6.0,False
1557.0,True
-319.0,False
-249.0,False
0.0,False
-237.0,False
-29.0,False
-104.0,False
-72.0,False
1362.0,True
-208.0,False
-391.0,False
1473.0,True
175.0,False
1504.0,True
268.0,False
-114.0,False
-32.0,False
1143.0,True
671.0,True
-56.0,False
-291.0,False
479.0,False
1226.0,True
1328.0,True
1261.0,True
1144.0,True
-305.0,False
74.0,False
-334.0,False
-186.0,False
-360.0,False
245.0,False
-170.0,False
-290.0,False
-10.0,False
52.0,False
-188.0,False
303.0,False
-41.0,False
-428.0,False
-175.0,False
120.0,False
56.0,False
-232.0,False
-169.0,False
-318.0,False
-577.0,False
1394.0,True
-269.0,False
-431.0,False
-199.0,False
-267.0,False
-31.0,False
-99.0,False
-35.0,False
198.0,False
-231.0,False
-480.0,False
-451.0,False
1128.0,True
-77.0,False
302.0,False
1500.0,True
-369.0,False
1305.0,True
-226.0,False
14.0,False
-165.0,False
1492.0,True
957.0,True
-241.0,False
1361.0,True
929.0,True
147.0,False
1383.0,True
115.0,False
362.0,False
-359.0,False
-319.0,False
-348.0,False
141.0,False
-259.0,False
-320.0,False
-312.0,False
1247.0,True
262.0,False
135.0,False
-34.0,False
-323.0,False
-174.0,False
108.0,False
1488.0,True
-56.0,False
1226.0,True
46.0,False
92.0,False
-333.0,False
-357.0,False
-382.0,False
152.0,False
52.0,False
283.0,False
-6.0,False
316.0,False
183.0,False
1169.0,True
1229.0,True
-191.0,False
-452.0,False
-151.0,False
841.0,True
-195.0,False
80.0,False
-427.0,False
1402.0,True
-31.0,False
381.0,False
1189.0,True
-172.0,False
-89.0,False
1521.0,True
1149.0,True
1319.0,True
1362.0,True
87.0,False
-495.0,False
-317.0,False
120.0,False
-510.0,False
-470.0,False
-225.0,False
324.0,False
-92.0,False
195.0,False
34.0,False
-366.0,False
1196.0,True
-476.0,False
-392.0,False
-392.0,False
-248.0,False
517.0,False
-177.0,False
203.0,False
-267.0,False
-73.0,False
25.0,False
51.0,False
-431.0,False
-373.0,False
-357.0,False
-362.0,False
-380.0,False
-308.0,False
-386.0,False
-412.0,False
-330.0,False
-483.0,False
188.0,False
-372.0,False
-347.0,False
33.0,False
-435.0,False
-370.0,False
-380.0,False
-201.0,False
-347.0,False
-319.0,False
-462.0,False
974.0,True
-102.0,False
-548.0,False
1441.0,True
-132.0,False
-441.0,False
239.0,False
-379.0,False
351.0,False
-27.0,False
-333.0,False
-24.0,False
1268.0,True
-249.0,False
-410.0,False
-373.0,False
825.0,True
-309.0,False
-100.0,False
-473.0,False
-349.0,False
-91.0,False
-76.0,False
181.0,False
216.0,False
87.0,False
214.0,False
-221.0,False
68.0,False
1444.0,True
1442.0,True
21.0,False
-161.0,False
-200.0,False
1496.0,True
1836.0,True
1242.0,True
1220.0,True
1197.0,True
1150.0,True
1211.0,True
1538.0,True
-93.0,False
546.0,False
-161.0,False
89.0,False
1218.0,True
297.0,False
1204.0,True
16.0,False
-80.0,False
